,year,area_rate,uf,pop,PIBpcpt,PIBpcpt_rate,cattle_pop,cattle_rate
0,1988,620,ACRE,407178,,,386995.0,
1,1989,540,ACRE,411984,,,393925.0,6930.0
2,1990,550,ACRE,416790,,,400085.0,6160.0
3,1991,380,ACRE,423199,,,404434.0,4349.0
4,1992,400,ACRE,428006,,,409172.0,4738.0
5,1993,482,ACRE,437495,,,445243.0,36071.0
6,1994,482,ACRE,446480,,,464523.0,19280.0
7,1995,1208,ACRE,455242,,,471434.0,6911.0
8,1996,433,ACRE,477713,,,853264.0,381830.0
9,1997,358,ACRE,500185,,,862534.0,9270.0
10,1998,536,ACRE,514050,,,906881.0,44347.0
11,1999,441,ACRE,527937,2865.0,,929999.0,23118.0
12,2000,547,ACRE,541873,3048.0,183.0,1033311.0,103312.0
13,2001,419,ACRE,574355,3347.0,299.0,1672598.0,639287.0
14,2002,883,ACRE,586942,3833.0,486.0,1817467.0,144869.0
15,2003,1078,ACRE,600595,5278.0,1445.0,1874804.0,57337.0
16,2004,728,ACRE,630328,6251.0,973.0,2062690.0,187886.0
17,2005,592,ACRE,669736,6692.0,441.0,2313185.0,250495.0
18,2006,398,ACRE,686652,7040.0,348.0,2452915.0,139730.0
19,2007,184,ACRE,683363,8429.0,1389.0,2315798.0,-137117.0
20,2008,254,ACRE,680075,9896.0,1467.0,2425687.0,109889.0
21,2009,167,ACRE,691132,10687.0,791.0,2511285.0,85598.0
22,2010,259,ACRE,718759,11385.0,698.0,2578460.0,67175.0
23,2011,280,ACRE,746386,11998.0,613.0,2549497.0,-28963.0
24,2012,305,ACRE,758786,13346.0,1348.0,2634467.0,84970.0
25,2013,221,ACRE,776463,14733.0,1387.0,2697489.0,63022.0
26,2014,309,ACRE,790101,17034.0,2301.0,2799673.0,102184.0
27,2015,264,ACRE,803513,16688.0,-346.0,2916207.0,116534.0
28,2016,372,ACRE,816687,16841.0,153.0,2998969.0,82762.0
29,2017,257,ACRE,829619,17204.0,363.0,2895028.0,-103941.0
30,2018,444,ACRE,869265,17636.0,432.0,3303633.0,408605.0
31,2019,682,ACRE,881935,,,3509682.0,206049.0
32,2020,706,ACRE,894470,,,,
33,1988,60,AMAPÁ,246122,,,74679.0,
34,1989,130,AMAPÁ,258395,,,75768.0,1089.0
35,1990,250,AMAPÁ,270668,,,69619.0,-6149.0
36,1991,410,AMAPÁ,287032,,,70875.0,1256.0
37,1992,36,AMAPÁ,299305,,,61656.0,-9219.0
38,1993,0,AMAPÁ,308787,,,73108.0,11452.0
39,1994,0,AMAPÁ,317597,,,86221.0,13113.0
40,1995,9,AMAPÁ,326188,,,93349.0,7128.0
41,1996,0,AMAPÁ,364052,,,63648.0,-29701.0
42,1997,18,AMAPÁ,401916,,,65953.0,2305.0
43,1998,30,AMAPÁ,420834,,,74508.0,8555.0
44,1999,0,AMAPÁ,439781,3542.0,,76734.0,2226.0
45,2000,0,AMAPÁ,458796,4216.0,674.0,82822.0,6088.0
46,2001,7,AMAPÁ,498735,4628.0,412.0,87197.0,4375.0
47,2002,0,AMAPÁ,516511,5233.0,605.0,83901.0,-3296.0
48,2003,25,AMAPÁ,534835,6220.0,987.0,81674.0,-2227.0
49,2004,46,AMAPÁ,547400,7026.0,806.0,82243.0,569.0
50,2005,33,AMAPÁ,594587,7344.0,318.0,96599.0,14356.0
51,2006,30,AMAPÁ,615715,8542.0,1198.0,109081.0,12482.0
52,2007,39,AMAPÁ,614440,9801.0,1259.0,103170.0,-5911.0
53,2008,100,AMAPÁ,613166,11032.0,1231.0,95803.0,-7367.0
54,2009,70,AMAPÁ,626609,11816.0,784.0,104977.0,9174.0
55,2010,53,AMAPÁ,655459,12320.0,504.0,114773.0,9796.0
56,2011,66,AMAPÁ,684309,13759.0,1439.0,127499.0,12726.0
57,2012,27,AMAPÁ,698602,15935.0,2176.0,142825.0,15326.0
58,2013,23,AMAPÁ,734996,17363.0,1428.0,154967.0,12142.0
59,2014,31,AMAPÁ,750912,17845.0,482.0,167529.0,12562.0
60,2015,25,AMAPÁ,766679,18079.0,234.0,89682.0,-77847.0
61,2016,17,AMAPÁ,782295,18333.0,254.0,76379.0,-13303.0
62,2017,24,AMAPÁ,797722,19407.0,1074.0,66921.0,-9458.0
63,2018,24,AMAPÁ,829494,20247.0,840.0,55422.0,-11499.0
64,2019,32,AMAPÁ,845731,,,54296.0,-1126.0
65,2020,24,AMAPÁ,861773,,,,
66,1988,1510,AMAZONAS,2133965,,,609477.0,
67,1989,1180,AMAZONAS,2141323,,,628256.0,18779.0
68,1990,520,AMAZONAS,2148681,,,637299.0,9043.0
69,1991,980,AMAZONAS,2158493,,,647714.0,10415.0
70,1992,799,AMAZONAS,2165852,,,639811.0,-7903.0
71,1993,370,AMAZONAS,2217600,,,688592.0,48781.0
72,1994,370,AMAZONAS,2269555,,,746638.0,58046.0
73,1995,2114,AMAZONAS,2333926,,,805804.0,59166.0
74,1996,1023,AMAZONAS,2397264,,,733910.0,-71894.0
75,1997,589,AMAZONAS,2460602,,,770805.0,36895.0
76,1998,670,AMAZONAS,2520684,,,809302.0,38497.0
77,1999,720,AMAZONAS,2580860,5646.0,,826025.0,16723.0
78,2000,612,AMAZONAS,2641251,6663.0,1017.0,843254.0,17229.0
79,2001,634,AMAZONAS,2900240,7125.0,462.0,863736.0,20482.0
80,2002,885,AMAZONAS,2961801,8374.0,1249.0,894856.0,31120.0
81,2003,1558,AMAZONAS,3031068,8100.0,-274.0,1121009.0,226153.0
82,2004,1232,AMAZONAS,3138726,9658.0,1558.0,1156723.0,35714.0
83,2005,775,AMAZONAS,3232330,10320.0,662.0,1197171.0,40448.0
