,year,uf,IDHM_rank,IDHM,IDHM_income_rank,IDHM_income,IDHM_edu_rank,IDHM_edu,IDHM_long_rank,IDHM_long,IDHM_rate,IDHM_income_rate,IDHM_edu_rate,IDHM_long_rate
0,1991,DISTRITO FEDERAL,1,0.616,2,0.731,1,0.419,1,0.762,,,,
1,1991,SÃO PAULO,2,0.578,3,0.73,3,0.363,2,0.729,,,,
2,1991,RIO DE JANEIRO,3,0.573,6,0.69,2,0.392,3,0.696,,,,
3,1991,SANTA CATARINA,4,0.543,1,0.753,4,0.329,5,0.648,,,,
4,1991,RIO GRANDE DO SUL,5,0.542,4,0.729,5,0.328,4,0.667,,,,
5,1991,PARANÁ,6,0.507,9,0.679,7,0.298,6,0.644,,,,
6,1991,ESPÍRITO SANTO,7,0.505,8,0.686,6,0.304,12,0.619,,,,
7,1991,MATO GROSSO DO SUL,8,0.488,5,0.699,9,0.259,8,0.641,,,,
8,1991,GOIÁS,9,0.487,10,0.668,8,0.273,9,0.633,,,,
9,1991,MINAS GERAIS,10,0.478,7,0.689,10,0.257,13,0.618,,,,
10,1991,AMAPÁ,11,0.472,10,0.668,11,0.254,11,0.62,,,,
11,1991,RORAIMA,12,0.459,15,0.628,13,0.24,7,0.643,,,,
12,1991,MATO GROSSO,13,0.449,11,0.654,14,0.221,10,0.627,,,,
13,1991,PERNAMBUCO,14,0.44,16,0.617,12,0.242,17,0.569,,,,
14,1991,AMAZONAS,15,0.43,12,0.645,16,0.204,14,0.605,,,,
15,1991,RIO GRANDE DO NORTE,16,0.428,19,0.591,12,0.242,21,0.547,,,,
16,1991,PARÁ,17,0.413,13,0.64,17,0.194,18,0.567,,,,
17,1991,SERGIPE,18,0.408,22,0.581,15,0.211,19,0.552,,,,
18,1991,RONDÔNIA,19,0.407,14,0.635,20,0.181,15,0.585,,,,
19,1991,CEARÁ,20,0.405,17,0.613,16,0.204,23,0.532,,,,
20,1991,ACRE,21,0.402,12,0.645,21,0.176,16,0.574,,,,
21,1991,BAHIA,22,0.386,21,0.582,19,0.182,22,0.543,,,,
22,1991,PARAÍBA,23,0.382,23,0.565,18,0.191,25,0.515,,,,
23,1991,ALAGOAS,24,0.37,24,0.552,22,0.174,24,0.527,,,,
24,1991,TOCANTINS,25,0.369,20,0.589,25,0.155,20,0.549,,,,
25,1991,PIAUÍ,26,0.362,18,0.595,24,0.164,26,0.488,,,,
26,1991,MARANHÃO,27,0.357,25,0.551,23,0.173,27,0.478,,,,
27,2000,DISTRITO FEDERAL,1,0.725,1,0.814,1,0.582,1,0.805,0.10899999999999999,0.08299999999999996,0.16299999999999998,0.04300000000000004
28,2000,SÃO PAULO,2,0.702,4,0.786,2,0.581,2,0.756,0.124,0.05600000000000005,0.21799999999999997,0.027000000000000024
29,2000,SANTA CATARINA,3,0.674,2,0.812,4,0.526,5,0.717,0.131,0.05900000000000005,0.197,0.06899999999999995
30,2000,RIO DE JANEIRO,4,0.664,10,0.74,3,0.53,3,0.745,0.09100000000000008,0.050000000000000044,0.138,0.049000000000000044
31,2000,RIO GRANDE DO SUL,4,0.664,3,0.804,6,0.505,4,0.72,0.122,0.07500000000000007,0.177,0.052999999999999936
32,2000,PARANÁ,5,0.65,9,0.747,5,0.522,6,0.704,0.14300000000000002,0.06799999999999995,0.22400000000000003,0.05999999999999994
33,2000,ESPÍRITO SANTO,6,0.64,5,0.777,7,0.491,8,0.687,0.135,0.09099999999999997,0.187,0.06800000000000006
34,2000,MINAS GERAIS,7,0.624,7,0.759,8,0.47,10,0.68,0.14600000000000002,0.07000000000000006,0.21299999999999997,0.062000000000000055
35,2000,GOIÁS,8,0.615,6,0.773,11,0.439,9,0.686,0.128,0.10499999999999998,0.16599999999999998,0.05300000000000005
36,2000,MATO GROSSO DO SUL,9,0.613,8,0.752,10,0.445,8,0.687,0.125,0.05300000000000005,0.186,0.04600000000000004
37,2000,MATO GROSSO,10,0.601,10,0.74,12,0.426,7,0.689,0.15199999999999997,0.08599999999999997,0.205,0.061999999999999944
38,2000,RORAIMA,11,0.598,12,0.717,9,0.457,12,0.652,0.13899999999999996,0.08899999999999997,0.21700000000000003,0.009000000000000008
39,2000,AMAPÁ,12,0.577,14,0.711,13,0.424,13,0.638,0.10499999999999998,0.04299999999999993,0.16999999999999998,0.018000000000000016
40,2000,RIO GRANDE DO NORTE,13,0.552,16,0.7,14,0.396,16,0.608,0.12400000000000005,0.10899999999999999,0.15400000000000003,0.06099999999999994
41,2000,PERNAMBUCO,14,0.544,15,0.705,16,0.372,14,0.615,0.10400000000000004,0.08799999999999997,0.13,0.04600000000000004
42,2000,CEARÁ,15,0.541,13,0.713,15,0.377,21,0.588,0.136,0.09999999999999998,0.17300000000000001,0.05599999999999994
43,2000,RONDÔNIA,16,0.537,19,0.688,18,0.345,11,0.654,0.13000000000000006,0.052999999999999936,0.16399999999999998,0.06900000000000006
44,2000,TOCANTINS,17,0.525,19,0.688,17,0.348,17,0.605,0.15600000000000003,0.09899999999999998,0.19299999999999998,0.05599999999999994
45,2000,PARÁ,18,0.518,11,0.725,24,0.319,18,0.601,0.10500000000000004,0.08499999999999996,0.125,0.03400000000000003
46,2000,SERGIPE,18,0.518,21,0.678,19,0.343,19,0.596,0.11000000000000004,0.09700000000000009,0.13200000000000003,0.04399999999999993
47,2000,ACRE,19,0.517,17,0.694,22,0.325,15,0.612,0.11499999999999999,0.04899999999999993,0.14900000000000002,0.038000000000000034
48,2000,AMAZONAS,20,0.515,18,0.692,23,0.324,16,0.608,0.08500000000000002,0.04699999999999993,0.12000000000000002,0.0030000000000000027
49,2000,BAHIA,21,0.512,20,0.68,20,0.332,20,0.594,0.126,0.09800000000000009,0.15000000000000002,0.050999999999999934
50,2000,PARAÍBA,22,0.506,23,0.672,21,0.331,22,0.582,0.124,0.1070000000000001,0.14,0.06699999999999995
51,2000,PIAUÍ,23,0.484,22,0.676,26,0.301,24,0.556,0.122,0.08100000000000007,0.13699999999999998,0.06800000000000006
52,2000,MARANHÃO,24,0.476,24,0.649,25,0.312,25,0.531,0.119,0.09799999999999998,0.139,0.05300000000000005
53,2000,ALAGOAS,25,0.471,25,0.647,27,0.282,23,0.574,0.10099999999999998,0.09499999999999997,0.10799999999999998,0.04699999999999993
54,2010,DISTRITO FEDERAL,1,0.824,1,0.873,1,0.742,1,0.863,0.09899999999999998,0.05900000000000005,0.16000000000000003,0.05799999999999994
55,2010,SÃO PAULO,2,0.783,3,0.845,2,0.719,2,0.789,0.08100000000000007,0.05899999999999994,0.138,0.03300000000000003
56,2010,SANTA CATARINA,3,0.774,2,0.86,3,0.697,4,0.773,0.09999999999999998,0.04799999999999993,0.17099999999999993,0.05600000000000005
57,2010,RIO DE JANEIRO,4,0.761,6,0.835,4,0.675,3,0.782,0.09699999999999998,0.09499999999999997,0.14500000000000002,0.03700000000000003
58,2010,PARANÁ,5,0.749,8,0.83,5,0.668,6,0.757,0.09899999999999998,0.08299999999999996,0.14600000000000002,0.05300000000000005
59,2010,RIO GRANDE DO SUL,6,0.746,4,0.84,8,0.642,5,0.769,0.08199999999999996,0.03599999999999992,0.137,0.049000000000000044
60,2010,ESPÍRITO SANTO,7,0.74,6,0.835,6,0.653,7,0.743,0.09999999999999998,0.05799999999999994,0.16200000000000003,0.05599999999999994
61,2010,GOIÁS,8,0.735,9,0.827,7,0.646,8,0.742,0.12,0.05399999999999994,0.20700000000000002,0.05599999999999994
62,2010,MINAS GERAIS,9,0.731,5,0.838,9,0.638,11,0.73,0.10699999999999998,0.07899999999999996,0.16800000000000004,0.04999999999999993
63,2010,MATO GROSSO DO SUL,10,0.729,7,0.833,11,0.629,9,0.74,0.11599999999999999,0.08099999999999996,0.184,0.052999999999999936
64,2010,MATO GROSSO,11,0.725,10,0.821,10,0.635,10,0.732,0.124,0.08099999999999996,0.20900000000000002,0.04300000000000004
65,2010,AMAPÁ,12,0.708,11,0.813,11,0.629,14,0.694,0.131,0.10199999999999998,0.20500000000000002,0.05599999999999994
66,2010,RORAIMA,13,0.707,12,0.809,12,0.628,13,0.695,0.10899999999999999,0.09200000000000008,0.17099999999999999,0.04299999999999993
67,2010,TOCANTINS,14,0.699,15,0.793,13,0.624,15,0.69,0.17399999999999993,0.1050000000000001,0.276,0.08499999999999996
68,2010,RONDÔNIA,15,0.69,14,0.8,16,0.577,12,0.712,0.1529999999999999,0.1120000000000001,0.23199999999999998,0.05799999999999994
69,2010,RIO GRANDE DO NORTE,16,0.684,16,0.792,15,0.597,16,0.678,0.132,0.09200000000000008,0.20099999999999996,0.07000000000000006
70,2010,CEARÁ,17,0.682,15,0.793,14,0.615,23,0.651,0.14100000000000001,0.08000000000000007,0.238,0.06300000000000006
71,2010,AMAZONAS,18,0.674,13,0.805,19,0.561,17,0.677,0.15900000000000003,0.1130000000000001,0.23700000000000004,0.06900000000000006
72,2010,PERNAMBUCO,19,0.673,17,0.789,17,0.574,18,0.673,0.129,0.08400000000000007,0.20199999999999996,0.05800000000000005
73,2010,SERGIPE,20,0.665,19,0.781,20,0.56,19,0.672,0.14700000000000002,0.10299999999999998,0.21700000000000003,0.07600000000000007
74,2010,ACRE,21,0.663,20,0.777,21,0.559,20,0.671,0.14600000000000002,0.08300000000000007,0.23400000000000004,0.05900000000000005
75,2010,BAHIA,22,0.66,18,0.783,22,0.555,21,0.663,0.14800000000000002,0.10299999999999998,0.22300000000000003,0.06900000000000006
76,2010,PARAÍBA,23,0.658,18,0.783,22,0.555,22,0.656,0.15200000000000002,0.11099999999999999,0.22400000000000003,0.07400000000000007
77,2010,PIAUÍ,24,0.646,20,0.777,23,0.547,26,0.635,0.16200000000000003,0.10099999999999998,0.24600000000000005,0.07899999999999996
78,2010,PARÁ,24,0.646,17,0.789,24,0.528,24,0.646,0.128,0.06400000000000006,0.20900000000000002,0.04500000000000004
79,2010,MARANHÃO,25,0.639,21,0.757,18,0.562,27,0.612,0.16300000000000003,0.10799999999999998,0.25000000000000006,0.08099999999999996
80,2010,ALAGOAS,26,0.631,22,0.755,25,0.52,25,0.641,0.16000000000000003,0.10799999999999998,0.23800000000000004,0.06700000000000006
81,2017,DISTRITO FEDERAL,1,0.85,1,0.89,2,0.804,1,0.859,0.026000000000000023,0.017000000000000015,0.062000000000000055,-0.0040000000000000036
82,2017,SÃO PAULO,2,0.826,5,0.854,1,0.828,2,0.796,0.04299999999999993,0.009000000000000008,0.10899999999999999,0.007000000000000006
83,2017,SANTA CATARINA,3,0.808,3,0.866,3,0.779,4,0.783,0.03400000000000003,0.006000000000000005,0.08200000000000007,0.010000000000000009
84,2017,RIO DE JANEIRO,4,0.796,4,0.858,6,0.763,6,0.769,0.03500000000000003,0.02300000000000002,0.08799999999999997,-0.013000000000000012
85,2017,PARANÁ,5,0.792,9,0.843,5,0.764,5,0.771,0.04300000000000004,0.013000000000000012,0.09599999999999997,0.014000000000000012
