Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,,,,,,,,,,,,,,,,,
Distrito Federal,1,0.616,2,0.731,1,0.419,1,0.762,,,,,,,,,,,,,,,,,
São Paulo,2,0.578,3,0.73,3,0.363,2,0.729,,,,,,,,,,,,,,,,,
Rio de Janeiro,3,0.573,6,0.69,2,0.392,3,0.696,,,,,,,,,,,,,,,,,
Santa Catarina,4,0.543,1,0.753,4,0.329,5,0.648,,,,,,,,,,,,,,,,,
Rio Grande do Sul,5,0.542,4,0.729,5,0.328,4,0.667,,,,,,,,,,,,,,,,,
Paraná,6,0.507,9,0.679,7,0.298,6,0.644,,,,,,,,,,,,,,,,,
Espírito Santo,7,0.505,8,0.686,6,0.304,12,0.619,,,,,,,,,,,,,,,,,
Mato Grosso do Sul,8,0.488,5,0.699,9,0.259,8,0.641,,,,,,,,,,,,,,,,,
Goiás,9,0.487,10,0.668,8,0.273,9,0.633,,,,,,,,,,,,,,,,,
Minas Gerais,10,0.478,7,0.689,10,0.257,13,0.618,,,,,,,,,,,,,,,,,
Amapá,11,0.472,10,0.668,11,0.254,11,0.62,,,,,,,,,,,,,,,,,
Roraima,12,0.459,15,0.628,13,0.24,7,0.643,,,,,,,,,,,,,,,,,
Mato Grosso,13,0.449,11,0.654,14,0.221,10,0.627,,,,,,,,,,,,,,,,,
Pernambuco,14,0.44,16,0.617,12,0.242,17,0.569,,,,,,,,,,,,,,,,,
Amazonas,15,0.43,12,0.645,16,0.204,14,0.605,,,,,,,,,,,,,,,,,
Rio Grande do Norte,16,0.428,19,0.591,12,0.242,21,0.547,,,,,,,,,,,,,,,,,
Pará,17,0.413,13,0.64,17,0.194,18,0.567,,,,,,,,,,,,,,,,,
Sergipe,18,0.408,22,0.581,15,0.211,19,0.552,,,,,,,,,,,,,,,,,
Rondônia,19,0.407,14,0.635,20,0.181,15,0.585,,,,,,,,,,,,,,,,,
Ceará,20,0.405,17,0.613,16,0.204,23,0.532,,,,,,,,,,,,,,,,,
Acre,21,0.402,12,0.645,21,0.176,16,0.574,,,,,,,,,,,,,,,,,
Bahia,22,0.386,21,0.582,19,0.182,22,0.543,,,,,,,,,,,,,,,,,
Paraíba,23,0.382,23,0.565,18,0.191,25,0.515,,,,,,,,,,,,,,,,,
Alagoas,24,0.37,24,0.552,22,0.174,24,0.527,,,,,,,,,,,,,,,,,
Tocantins,25,0.369,20,0.589,25,0.155,20,0.549,,,,,,,,,,,,,,,,,
Piauí,26,0.362,18,0.595,24,0.164,26,0.488,,,,,,,,,,,,,,,,,
Maranhão,27,0.357,25,0.551,23,0.173,27,0.478,,,,,,,,,,,,,,,,,
