year,uf,PIB
2006,RONDÔNIA,13107441
2007,RONDÔNIA,15002734
2008,RONDÔNIA,17887799
2009,RONDÔNIA,20236194
2014,RONDÔNIA,34030982
2015,RONDÔNIA,36562837
2016,RONDÔNIA,39460359
2017,RONDÔNIA,43516147
2018,RONDÔNIA,44913978
2006,ACRE,4834620
2007,ACRE,5760501
2008,ACRE,6730108
2009,ACRE,7386436
2014,ACRE,13458698
2015,ACRE,13409201
2016,ACRE,13754240
2017,ACRE,14272941
2018,ACRE,15331123
2006,AMAZONAS,39156902
2007,AMAZONAS,42023218
2008,AMAZONAS,46822569
2009,AMAZONAS,49614251
2014,AMAZONAS,86668644
2015,AMAZONAS,86560496
2016,AMAZONAS,89039782
2017,AMAZONAS,93240191
2018,AMAZONAS,100109235
2006,RORAIMA,3660083
2007,RORAIMA,4168599
2008,RORAIMA,4889301
2009,RORAIMA,5593491
2014,RORAIMA,9744122
2015,RORAIMA,10354355
2016,RORAIMA,11013237
2017,RORAIMA,12104709
2018,RORAIMA,13369988
2006,PARÁ,44369675
2007,PARÁ,49507144
2008,PARÁ,58518557
2009,PARÁ,58401830
2014,PARÁ,124584945
2015,PARÁ,130883426
2016,PARÁ,138107514
2017,PARÁ,155232404
2018,PARÁ,161349602
2006,AMAPÁ,5260017
2007,AMAPÁ,6022132
2008,AMAPÁ,6764834
2009,AMAPÁ,7404389
2014,AMAPÁ,13400284
2015,AMAPÁ,13861201
2016,AMAPÁ,14342135
2017,AMAPÁ,15481908
2018,AMAPÁ,16795207
2006,TOCANTINS,9604690
2007,TOCANTINS,11094063
2008,TOCANTINS,13090266
2009,TOCANTINS,14571366
2014,TOCANTINS,26189323
2015,TOCANTINS,28930063
2016,TOCANTINS,31584816
2017,TOCANTINS,34108132
2018,TOCANTINS,35666183
2006,MARANHÃO,28620246
2007,MARANHÃO,31606026
2008,MARANHÃO,38486010
2009,MARANHÃO,39854677
2014,MARANHÃO,76842028
2015,MARANHÃO,78475166
2016,MARANHÃO,85310038
2017,MARANHÃO,89542757
2018,MARANHÃO,98179496
2006,MATO GROSSO,35257614
2007,MATO GROSSO,42687119
2008,MATO GROSSO,53386488
2009,MATO GROSSO,57294192
2014,MATO GROSSO,101234520
2015,MATO GROSSO,107418031
2016,MATO GROSSO,123880296
2017,MATO GROSSO,126845898
2018,MATO GROSSO,137442853
