year,uf,PIBpcpt
1999,RONDÔNIA,3541
2000,RONDÔNIA,3888
2001,RONDÔNIA,4123
2002,RONDÔNIA,4843
2003,RONDÔNIA,6594
2004,RONDÔNIA,7209
2005,RONDÔNIA,8408
2010,RONDÔNIA,15322
2011,RONDÔNIA,17495.77
2012,RONDÔNIA,18923.75
2013,RONDÔNIA,17990.69
1999,ACRE,2865
2000,ACRE,3048
2001,ACRE,3347
2002,ACRE,3833
2003,ACRE,5278
2004,ACRE,6251
2005,ACRE,6692
2010,ACRE,11385.25
2011,ACRE,11998.09
2012,ACRE,13346.94
2013,ACRE,14733.5
1999,AMAZONAS,5646
2000,AMAZONAS,6663
2001,AMAZONAS,7125
2002,AMAZONAS,8374
2003,AMAZONAS,8100
2004,AMAZONAS,9658
2005,AMAZONAS,10320
2010,AMAZONAS,17490.23
2011,AMAZONAS,19990.87
2012,AMAZONAS,20109.91
2013,AMAZONAS,21873.65
1999,RORAIMA,2540
2000,RORAIMA,3347
2001,RORAIMA,3528
2002,RORAIMA,4162
2003,RORAIMA,7455
2004,RORAIMA,7361
2005,RORAIMA,8123
2010,RORAIMA,14714.41
2011,RORAIMA,15880.55
2012,RORAIMA,16427.5
2013,RORAIMA,18495.8
1999,PARÁ,2710
2000,PARÁ,3007
2001,PARÁ,3383
2002,PARÁ,3887
2003,PARÁ,4448
2004,PARÁ,5192
2005,PARÁ,5617
2010,PARÁ,10875.78
2011,PARÁ,12842.35
2012,PARÁ,13707.82
2013,PARÁ,15176.18
1999,AMAPÁ,3542
2000,AMAPÁ,4216
2001,AMAPÁ,4628
2002,AMAPÁ,5233
2003,AMAPÁ,6220
2004,AMAPÁ,7026
2005,AMAPÁ,7344
2010,AMAPÁ,12320.68
2011,AMAPÁ,13759.23
2012,AMAPÁ,15935.25
2013,AMAPÁ,17363.82
1999,TOCANTINS,1861
2000,TOCANTINS,2117
2001,TOCANTINS,2591
2002,TOCANTINS,2931
2003,TOCANTINS,5784
2004,TOCANTINS,6556
2005,TOCANTINS,6957
2010,TOCANTINS,11858.96
2011,TOCANTINS,13102.78
2012,TOCANTINS,14583.94
2013,TOCANTINS,16086.37
1999,MARANHÃO,1409
2000,MARANHÃO,1616
2001,MARANHÃO,1782
2002,MARANHÃO,1949
2003,MARANHÃO,3112
2004,MARANHÃO,3588
2005,MARANHÃO,4150
2010,MARANHÃO,7049.63
2011,MARANHÃO,7850.58
2012,MARANHÃO,9005.51
2013,MARANHÃO,9948.47
1999,MATO GROSSO,4713
2000,MATO GROSSO,5297
2001,MATO GROSSO,5585
2002,MATO GROSSO,6773
2003,MATO GROSSO,10347
2004,MATO GROSSO,13445
2005,MATO GROSSO,13365
2010,MATO GROSSO,18657.31
2011,MATO GROSSO,22484.64
2012,MATO GROSSO,25550.79
2013,MATO GROSSO,28007.75
