place,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brasil,92495364,102531758,107349052,107296556,106942565,109177486,118971418,121785084,123487834,124185999,127654597,128422666,132221568,135726280,139599106,144154103,147102314,152135505,154229303,155134073,158243229,161227938,158288540,161416157,163154357,164621038,169875524,176388726,185348838,195551576,204512737,207156696,205886244,199752014,202306731,205307954,209541109,212815311,211279082,211764292,212366132,215220508,218190768,215003578,213809445,214893800
Rondônia,41030,51507,65997,74889,116617,176221,250286,254348,347279,575083,693663,764299,884307,1051067,1247898,1594201,1718697,2826403,2773896,3286112,3469519,3928027,3937291,4330932,5104233,5441734,5664320,6605034,8039890,9392354,10671440,11349452,11484162,11007613,11176201,11532891,11842073,12182259,12218437,12329971,12744326,13397970,13682200,14091378,14367161,14349219
Acre,99820,119342,134547,151606,166320,185993,298036,352755,426684,467384,514653,349150,347885,356446,386995,393925,400085,404434,409172,445243,464523,471434,853264,862534,906881,929999,1033311,1672598,1817467,1874804,2062690,2313185,2452915,2315798,2425687,2511285,2578460,2549497,2634467,2697489,2799673,2916207,2998969,2895028,3303633,3509682
Amazonas,317808,198768,203742,208410,228201,239662,350003,361096,390965,421538,473216,427504,431939,478424,609477,628256,637299,647714,639811,688592,746638,805804,733910,770805,809302,826025,843254,863736,894856,1121009,1156723,1197171,1243358,1208652,1312352,1350816,1360800,1439597,1445739,1470537,1405208,1293325,1315821,1343574,1376210,1455842
Roraima,286116,249978,260052,261732,263302,272508,326097,335872,345948,356326,280215,305155,342702,362386,376682,396726,,345650,348807,,285596,282049,400334,377546,424700,480500,480400,438000,423000,423400,459000,507000,508600,481100,476200,475380,577050,651511,686491,747045,735962,794783,780877,787318,817198,879007
Pará,1377655,1430055,1518544,1638422,1737234,1864464,2411115,2810252,3198599,3588394,3933128,3378894,4036502,4580572,5365316,5870005,6182090,6626179,6989688,7434835,7539452,8058029,6751480,7539154,8337181,8862649,10271409,11046992,12190597,13376606,17430496,18063669,17501678,15353989,16240697,16856561,17633339,18262547,18605051,19165028,19911217,20271618,20476783,20585367,20628651,20881204
Amapá,88287,63798,64679,65766,66270,61200,52210,53135,48140,49410,51880,48370,51953,70271,74679,75768,69619,70875,61656,73108,86221,93349,63648,65953,74508,76734,82822,87197,83901,81674,82243,96599,109081,103170,95803,104977,114773,127499,142825,154967,167529,89682,76379,66921,55422,54296
Tocantins,,,,,,,,,,,,,,,,4189580,4309160,4440540,4623500,5138904,5374168,5544400,5242655,5350885,5441860,5813170,6142096,6570653,6979102,7659743,7924546,7961926,7760590,7395450,7392515,7605249,7994200,8025400,8082336,8140580,8062227,8412404,8652161,8738477,8352513,8480724
Maranhão,1721854,1782518,1829081,1901089,2007977,2209114,2835869,2906004,3054555,3129495,3307910,3278340,3428806,3550917,3673815,3813651,3900158,3948710,3930893,4019776,4101939,4162059,3935754,3905311,3936949,3966430,4093563,4483209,4776278,5514167,5928131,6448948,6613270,6609438,6816338,6885265,6979844,7264106,7490942,7611324,7758352,7643128,7653870,7687695,7793180,8008643
Piauí,1467902,1379634,1396387,1424446,1468925,1537037,1595136,1629785,1667681,1531687,1588631,1600761,1658658,1729326,1812058,1895428,1974099,2045737,2029052,1982460,2053618,2135286,1729595,1736997,1750936,1756268,1779456,1791817,1804477,1818221,1830613,1826833,1838378,1736520,1750910,1682111,1679957,1688024,1689926,1666107,1660099,1649549,1639856,1625006,1464196,1447817
